reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
21101129041 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 46^ | 14 | 60 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101129041 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101129041&exam_held=December%2F2025
21101129051 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 37^ | 14 | 51 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101129051 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101129051&exam_held=December%2F2025
21101130005 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 27^ | 25 | 52 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101130005 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101130005&exam_held=December%2F2025
21101130005 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 32^ | 26 | 58 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101130005 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101130005&exam_held=December%2F2025
21101130010 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 39^ | 26 | 65 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101130010 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101130010&exam_held=December%2F2025
21101131019 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 32^ | 21 | 53 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101131019 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101131019&exam_held=December%2F2025
21101131020 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 43^ | 25 | 68 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101131020 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101131020&exam_held=December%2F2025
21101131058 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 32^ | 19 | 51 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101131058 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101131058&exam_held=December%2F2025
21101132009 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 32^ | 19 | 51 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132009 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132009&exam_held=December%2F2025
21101132019 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 36^ | 16 | 52 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132019 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132019&exam_held=December%2F2025
21101132027 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 44^ | 9 | 53 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132027 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132027&exam_held=December%2F2025
21101132029 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 38^ | 25 | 63 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132029 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132029&exam_held=December%2F2025
21101132030 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 53^ | 13 | 66 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132030 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132030&exam_held=December%2F2025
21101132031 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 44^ | 9 | 53 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132031 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132031&exam_held=December%2F2025
21101132031 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 43^ | 9 | 52 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132031 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132031&exam_held=December%2F2025
21101132036 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 21 | 59 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132036 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132036&exam_held=December%2F2025
21101132037 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 41^ | 20 | 61 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132037 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101132037&exam_held=December%2F2025
21101133017 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 36^ | 19 | 55 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101133017 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101133017&exam_held=December%2F2025
21101133017 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | D | C | 6 | 7 | 4.00 | 42^ | 20 | 62 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101133017 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101133017&exam_held=December%2F2025
